ORG_TS,ORG_WORD,ORG_POS,ORG_ISSTOP,LEV_OP,TRAN_TS,TRAN_WORD,TRAN_POS,TRAN_ISSTOP,TS_DIFF
95133,going,VERB,False,=,94819,going,VERB,False,314
95546,on,ADP,True,=,95166,on,ADP,True,380
95752,here,ADV,True,=,95340,here,ADV,True,412
96097,lots,NOUN,False,=,95630,lots,NOUN,False,467
96441,of,ADP,True,D,,,,,
96648,theater,NOUN,False,=,95920,theater,NOUN,False,728
97198,close,ADV,False,R,96615,closed,VERB,False,583
97696,the,DET,True,D,,,,,
97923,heat,NOUN,False,=,97223,heat,NOUN,False,700
98208,from,ADP,True,=,97657,from,ADP,True,551
98492,the,DET,True,=,98092,the,DET,True,400
98720,blast,NOUN,False,=,98440,blast,NOUN,False,280
99062,was,AUX,True,=,98787,was,AUX,True,275
99289,in,ADP,True,=,99019,in,ADP,True,270
99460,excess,NOUN,False,=,99193,excess,NOUN,False,267
99858,of,ADP,True,=,99598,of,ADP,True,260
100029,3000,NUM,False,=,99772,3000,NUM,False,257
100371,degrees,NOUN,False,=,100120,degrees,NOUN,False,251
100826,celsius,NOUN,False,=,100787,celsius,PROPN,False,39
101366,any,DET,True,R,101455,and,CCONJ,True,89
,,,,I,101789,he,PRON,True,
101625,subjects,NOUN,False,=,102040,subjects,NOUN,False,415
102208,within,ADP,True,=,102449,within,ADP,True,241
102662,12.5,NUM,False,R,102768,twelve,NUM,True,106
,,,,I,103086,point,NOUN,False,
,,,,I,103360,five,NUM,True,
102986,yards,NOUN,False,=,103567,yards,NOUN,False,581
103374,were,AUX,True,=,103816,were,AUX,True,442
103698,vaporised,VERB,False,R,104024,vaporized,VERB,False,326
104346,instantly,ADV,False,=,104440,instantly,ADV,False,94
105078,no,DET,True,=,105040,no,DET,True,38
105199,bomb,NOUN,False,=,105220,bomb,NOUN,False,21
105401,parts,NOUN,False,=,105520,parts,NOUN,False,119
105644,found,VERB,False,=,105880,found,VERB,False,236
105886,in,ADP,True,=,106153,in,ADP,True,267
106008,a,DET,True,=,106289,a,DET,True,281
106088,three,NUM,True,=,106380,three,NUM,True,292
106331,mile,NOUN,False,=,106653,mile,NOUN,False,322
106533,radius,NOUN,False,=,106881,radius,NOUN,False,348
106816,of,ADP,True,=,107200,of,ADP,True,384
106938,the,DET,True,=,107363,the,DET,True,425
107099,chinese,PROPN,False,=,107582,chinese,PROPN,False,483
107423,theater,PROPN,False,=,108019,theater,PROPN,False,596
107831,no,INTJ,True,R,108456,mosa,PROPN,False,625
108260,sir,NOUN,False,R,111230,time,NOUN,False,2970
110875,talk,VERB,False,D,,,,,
111169,to,ADP,True,=,111494,to,PART,True,325
111346,me,PRON,True,R,111653,be,AUX,True,307
111522,happy,PROPN,False,=,111812,happy,ADJ,False,290
130645,when,ADV,True,R,130930,what,PRON,True,285
131005,is,AUX,True,=,131230,is,AUX,True,225
131222,a,DET,True,R,131410,the,DET,True,188
131366,bomb,NOUN,False,=,131650,bomb,NOUN,False,284
131727,not,PART,True,=,131950,not,PART,True,223
132016,a,DET,True,=,132190,a,DET,True,174
132161,bomb,NOUN,False,=,132310,bomb,NOUN,False,149
143908,any,DET,True,=,144290,any,DET,True,382
144106,military,ADJ,False,=,144501,military,ADJ,False,395
144553,victims,NOUN,False,=,144976,victims,NOUN,False,423
146161,not,PART,True,=,145398,not,PART,True,763
146325,according,VERB,False,=,145610,according,VERB,False,715
146737,to,ADP,True,=,146210,to,ADP,True,527
146860,public,ADJ,False,=,146390,public,ADJ,False,470
147148,record,NOUN,False,R,146810,records,NOUN,False,338
147436,sir,NOUN,False,D,,,,,
147662,bring,VERB,False,=,147290,bring,VERB,False,372
147965,up,ADP,True,=,147837,up,ADP,True,128
148117,the,DET,True,=,148110,the,DET,True,7
148320,thermogenic,ADJ,False,=,148475,thermogenic,NOUN,False,155
148928,signatures,NOUN,False,=,149570,signatures,NOUN,False,642
149485,again,ADV,True,=,150116,again,ADV,True,631
149873,factor,NOUN,False,R,150414,factoring,VERB,False,541
150371,in,ADP,True,R,150910,3,NUM,False,539
150585,3000,NUM,False,R,151010,000,NUM,False,425
151013,degrees,NOUN,False,=,151324,degrees,NOUN,False,311
151666,the,DET,True,=,151953,the,DET,True,287
151937,oracle,PROPN,False,=,152267,oracle,PROPN,False,330
152411,cloud,NOUN,False,=,152818,cloud,NOUN,False,407
152818,has,AUX,True,R,153290,is,AUX,True,472
153089,completed,VERB,False,=,153437,completed,VERB,False,348
153767,analysis,NOUN,False,=,153928,analysis,NOUN,False,161
154461,accessing,VERB,False,=,154370,accessing,VERB,False,91
154977,satellites,NOUN,False,=,154994,satellites,NOUN,False,17
155628,and,CCONJ,True,=,155680,and,CCONJ,True,52
155874,plotting,VERB,False,=,155930,plotting,VERB,False,56
156428,the,DET,True,=,156277,the,DET,True,151
156674,last,ADJ,True,=,156431,last,ADJ,True,243
156982,12,NUM,False,=,156624,12,NUM,False,358
157167,months,NOUN,False,=,156740,months,NOUN,False,427
157598,of,ADP,True,=,157010,of,ADP,True,588
157783,thermogenic,ADJ,False,=,157156,thermogenic,ADJ,False,627
158521,occurrences,NOUN,False,=,157743,occurrences,NOUN,False,778
159260,now,ADV,True,=,158330,now,ADV,True,930
160175,take,VERB,True,=,160950,take,VERB,True,775
160387,away,ADV,False,=,161065,away,ADV,False,678
160599,everywhere,ADV,True,=,161180,everywhere,ADV,True,581
161065,that,SCONJ,True,=,161434,that,DET,True,369
161277,there,PRON,True,=,161550,there,PRON,True,273
161532,'s,AUX,True,=,161701,'s,AUX,True,169
161659,been,AUX,True,=,161776,been,AUX,True,117
161871,a,DET,True,=,161902,a,DET,True,31
161956,mandarin,PROPN,False,=,161953,mandarin,NOUN,False,3
162338,attack,NOUN,False,=,162180,attack,NOUN,False,158
168016,nope,INTJ,False,=,168380,nope,INTJ,False,364
174981,that,DET,True,=,175440,that,SCONJ,True,459
175255,are,AUX,True,D,,,,,
175475,you,PRON,True,=,175700,you,PRON,True,225
175695,sure,ADJ,False,=,175908,sure,INTJ,False,213
175969,that,DET,True,=,176168,that,DET,True,199
176244,'s,AUX,True,=,176428,'s,AUX,True,184
176409,not,PART,True,=,176584,not,PART,True,175
176628,one,NUM,True,=,176792,one,NUM,True,164
176848,of,ADP,True,=,177000,of,ADP,True,152
177013,his,PRON,True,=,177235,his,DET,True,222
177317,it,PRON,True,D,,,,,
177511,predates,VERB,False,=,177549,predates,VERB,False,38
178094,any,DET,True,=,178255,any,DET,True,161
178353,known,VERB,False,=,178569,known,VERB,False,216
178741,mandarin,PROPN,False,=,179040,mandarin,PROPN,False,299
179324,attack,NOUN,False,=,179524,attack,NOUN,False,200
179861,the,DET,True,=,179900,the,DET,True,39
180067,incident,NOUN,False,=,180115,incident,NOUN,False,48
180531,was,AUX,True,=,180600,was,AUX,True,69
180737,the,DET,True,=,180830,the,DET,True,93
180943,use,NOUN,False,=,181060,use,NOUN,False,117
181150,of,ADP,True,=,181291,of,ADP,True,141
181304,a,DET,True,=,181463,a,DET,True,159
181407,bomb,NOUN,False,=,181579,bomb,NOUN,False,172
181665,to,PART,True,=,181867,to,ADP,True,202
181820,assist,VERB,False,=,182040,assist,VERB,False,220
182181,a,DET,True,=,182534,a,DET,True,353
182284,suicide,NOUN,False,=,182675,suicide,NOUN,False,391
182781,bring,VERB,False,D,,,,,
183428,her,PRON,True,D,,,,,
183860,around,ADV,True,D,,,,,
185325,the,DET,True,=,185880,the,DET,True,555
185556,heat,NOUN,False,=,186136,heat,NOUN,False,580
185846,signature,NOUN,False,=,186456,signature,NOUN,False,610
186426,is,AUX,True,=,187097,is,AUX,True,671
186600,remarkably,ADV,False,=,187290,remarkably,ADV,False,690
187238,similar,ADJ,False,=,188128,similar,ADJ,False,890
188369,3000,NUM,False,=,188738,3000,NUM,False,369
188786,degree,NOUN,False,R,189120,degrees,NOUN,False,334
189272,celsius,PROPN,False,=,189320,celsius,PROPN,False,48
191623,that,DET,True,R,191800,it,PRON,True,177
192023,'s,AUX,True,=,191905,'s,AUX,True,118
192264,two,NUM,True,=,192010,two,NUM,True,254
192585,military,ADJ,False,=,192150,military,ADJ,False,435
193307,guys,NOUN,False,=,192465,guys,NOUN,False,842
194501,ever,ADV,True,=,195190,ever,ADV,True,689
194707,been,AUX,True,=,195430,been,AUX,True,723
194914,to,ADP,True,=,195670,to,ADP,True,756
195038,tennessee,PROPN,False,=,195814,tennessee,PROPN,False,776
195451,jarvis,PROPN,False,=,196294,jarvis,PROPN,False,843
196169,creating,VERB,False,=,196630,creating,VERB,False,461
196777,a,DET,True,=,197030,a,DET,True,253
196912,flight,NOUN,False,=,197118,flight,NOUN,False,206
197386,plan,NOUN,False,=,197430,plan,NOUN,False,44
197724,for,ADP,True,=,197652,for,ADP,True,72
197994,tennessee,PROPN,False,=,197830,tennessee,PROPN,False,164
